cmd_id,origin_cycle,ts_received,bus,breaker_DT
7,10,1780259504.110297,1,1
7,10,1780259504.110297,2,1
7,10,1780259504.110297,3,1
7,10,1780259504.110297,4,1
7,10,1780259504.110297,5,1
8,11,1780259505.111228,1,1
8,11,1780259505.111228,2,1
8,11,1780259505.111228,3,1
8,11,1780259505.111228,4,1
8,11,1780259505.111228,5,1
9,12,1780259506.112523,1,1
9,12,1780259506.112523,2,1
9,12,1780259506.112523,3,1
9,12,1780259506.112523,4,1
9,12,1780259506.112523,5,1
11,14,1780259507.134676,1,1
11,14,1780259507.134676,2,1
11,14,1780259507.134676,3,1
11,14,1780259507.134676,4,1
11,14,1780259507.134676,5,1
12,15,1780259508.135770,1,1
12,15,1780259508.135770,2,1
12,15,1780259508.135770,3,1
12,15,1780259508.135770,4,1
12,15,1780259508.135770,5,1
12,15,1780259509.147578,1,1
12,15,1780259509.147578,2,1
12,15,1780259509.147578,3,1
12,15,1780259509.147578,4,1
12,15,1780259509.147578,5,1
12,16,1780259510.151994,1,1
12,16,1780259510.151994,2,1
12,16,1780259510.151994,3,1
12,16,1780259510.151994,4,1
12,16,1780259510.151994,5,1
13,16,1780259511.154086,1,1
13,16,1780259511.154086,2,1
13,16,1780259511.154086,3,1
13,16,1780259511.154086,4,1
13,16,1780259511.154086,5,1
14,18,1780259512.154708,1,1
14,18,1780259512.154708,2,1
14,18,1780259512.154708,3,1
14,18,1780259512.154708,4,1
14,18,1780259512.154708,5,1
16,19,1780259513.173139,1,1
16,19,1780259513.173139,2,1
16,19,1780259513.173139,3,1
16,19,1780259513.173139,4,1
16,19,1780259513.173139,5,1
17,20,1780259514.174227,1,1
17,20,1780259514.174227,2,1
17,20,1780259514.174227,3,1
17,20,1780259514.174227,4,1
17,20,1780259514.174227,5,1
18,21,1780259515.214606,1,1
18,21,1780259515.214606,2,1
18,21,1780259515.214606,3,1
18,21,1780259515.214606,4,1
18,21,1780259515.214606,5,1
19,22,1780259516.214688,1,1
19,22,1780259516.214688,2,1
19,22,1780259516.214688,3,1
19,22,1780259516.214688,4,1
19,22,1780259516.214688,5,1
20,23,1780259517.216501,1,1
20,23,1780259517.216501,2,1
20,23,1780259517.216501,3,1
20,23,1780259517.216501,4,1
20,23,1780259517.216501,5,1
21,24,1780259518.258062,1,1
21,24,1780259518.258062,2,1
21,24,1780259518.258062,3,1
21,24,1780259518.258062,4,1
21,24,1780259518.258062,5,1
22,25,1780259519.273602,1,1
22,25,1780259519.273602,2,1
22,25,1780259519.273602,3,1
22,25,1780259519.273602,4,1
22,25,1780259519.273602,5,1
23,26,1780259520.274087,1,1
23,26,1780259520.274087,2,1
23,26,1780259520.274087,3,1
23,26,1780259520.274087,4,1
23,26,1780259520.274087,5,1
24,27,1780259521.334485,1,1
24,27,1780259521.334485,2,1
24,27,1780259521.334485,3,1
24,27,1780259521.334485,4,1
24,27,1780259521.334485,5,1
25,28,1780259522.375778,1,1
25,28,1780259522.375778,2,1
25,28,1780259522.375778,3,1
25,28,1780259522.375778,4,1
25,28,1780259522.375778,5,1
26,29,1780259523.378113,1,1
26,29,1780259523.378113,2,1
26,29,1780259523.378113,3,1
26,29,1780259523.378113,4,1
26,29,1780259523.378113,5,1
26,29,1780259524.389173,1,1
26,29,1780259524.389173,2,1
26,29,1780259524.389173,3,1
26,29,1780259524.389173,4,1
26,29,1780259524.389173,5,1
27,30,1780259525.403790,1,1
27,30,1780259525.403790,2,1
27,30,1780259525.403790,3,1
27,30,1780259525.403790,4,1
27,30,1780259525.403790,5,1
28,31,1780259526.404999,1,1
28,31,1780259526.404999,2,1
28,31,1780259526.404999,3,1
28,31,1780259526.404999,4,1
28,31,1780259526.404999,5,1
29,32,1780259527.406574,1,1
29,32,1780259527.406574,2,1
29,32,1780259527.406574,3,1
29,32,1780259527.406574,4,1
29,32,1780259527.406574,5,1
30,33,1780259528.593035,1,1
30,33,1780259528.593035,2,1
30,33,1780259528.593035,3,1
30,33,1780259528.593035,4,1
30,33,1780259528.593035,5,1
32,35,1780259529.716709,1,1
32,35,1780259529.716709,2,1
32,35,1780259529.716709,3,1
32,35,1780259529.716709,4,1
32,35,1780259529.716709,5,1
33,36,1780259530.718067,1,1
33,36,1780259530.718067,2,1
33,36,1780259530.718067,3,1
33,36,1780259530.718067,4,1
33,36,1780259530.718067,5,1
34,37,1780259531.718833,1,1
34,37,1780259531.718833,2,1
34,37,1780259531.718833,3,1
34,37,1780259531.718833,4,1
34,37,1780259531.718833,5,1
35,38,1780259532.719522,1,1
35,38,1780259532.719522,2,1
35,38,1780259532.719522,3,1
35,38,1780259532.719522,4,1
35,38,1780259532.719522,5,1
35,38,1780259533.754959,1,1
35,38,1780259533.754959,2,1
35,38,1780259533.754959,3,1
35,38,1780259533.754959,4,1
35,38,1780259533.754959,5,1
37,40,1780259534.756011,1,1
37,40,1780259534.756011,2,1
37,40,1780259534.756011,3,1
37,40,1780259534.756011,4,1
37,40,1780259534.756011,5,1
37,40,1780259535.757881,1,1
37,40,1780259535.757881,2,1
37,40,1780259535.757881,3,1
37,40,1780259535.757881,4,1
37,40,1780259535.757881,5,1
38,41,1780259536.765640,1,1
38,41,1780259536.765640,2,1
38,41,1780259536.765640,3,1
38,41,1780259536.765640,4,1
38,41,1780259536.765640,5,1
39,42,1780259537.771938,1,1
39,42,1780259537.771938,2,1
39,42,1780259537.771938,3,1
39,42,1780259537.771938,4,1
39,42,1780259537.771938,5,1
40,43,1780259538.820063,1,1
40,43,1780259538.820063,2,1
40,43,1780259538.820063,3,1
40,43,1780259538.820063,4,1
40,43,1780259538.820063,5,1
41,44,1780259539.821155,1,1
41,44,1780259539.821155,2,1
41,44,1780259539.821155,3,1
41,44,1780259539.821155,4,1
41,44,1780259539.821155,5,1
42,45,1780259540.897237,1,1
42,45,1780259540.897237,2,1
42,45,1780259540.897237,3,1
42,45,1780259540.897237,4,1
42,45,1780259540.897237,5,1
44,47,1780259541.927460,1,1
44,47,1780259541.927460,2,1
44,47,1780259541.927460,3,1
44,47,1780259541.927460,4,1
44,47,1780259541.927460,5,1
44,47,1780259542.931502,1,1
44,47,1780259542.931502,2,1
44,47,1780259542.931502,3,1
44,47,1780259542.931502,4,1
44,47,1780259542.931502,5,1
45,48,1780259543.932485,1,1
45,48,1780259543.932485,2,1
45,48,1780259543.932485,3,1
45,48,1780259543.932485,4,1
45,48,1780259543.932485,5,1
46,50,1780259544.936873,1,1
46,50,1780259544.936873,2,1
46,50,1780259544.936873,3,1
46,50,1780259544.936873,4,1
46,50,1780259544.936873,5,1
47,50,1780259545.945445,1,1
47,50,1780259545.945445,2,1
47,50,1780259545.945445,3,1
47,50,1780259545.945445,4,1
47,50,1780259545.945445,5,1
48,51,1780259546.955098,1,1
48,51,1780259546.955098,2,1
48,51,1780259546.955098,3,1
48,51,1780259546.955098,4,1
48,51,1780259546.955098,5,1
49,52,1780259547.984417,1,1
49,52,1780259547.984417,2,1
49,52,1780259547.984417,3,1
49,52,1780259547.984417,4,1
49,52,1780259547.984417,5,1
50,53,1780259549.019766,1,1
50,53,1780259549.019766,2,1
50,53,1780259549.019766,3,1
50,53,1780259549.019766,4,1
50,53,1780259549.019766,5,1
51,54,1780259550.021961,1,1
51,54,1780259550.021961,2,1
51,54,1780259550.021961,3,1
51,54,1780259550.021961,4,1
51,54,1780259550.021961,5,1
52,55,1780259551.022855,1,1
52,55,1780259551.022855,2,1
52,55,1780259551.022855,3,1
52,55,1780259551.022855,4,1
52,55,1780259551.022855,5,1
53,56,1780259552.023927,1,1
53,56,1780259552.023927,2,1
53,56,1780259552.023927,3,1
53,56,1780259552.023927,4,1
53,56,1780259552.023927,5,1
54,57,1780259553.025146,1,1
54,57,1780259553.025146,2,1
54,57,1780259553.025146,3,1
54,57,1780259553.025146,4,1
54,57,1780259553.025146,5,1
55,58,1780259554.030371,1,1
55,58,1780259554.030371,2,1
55,58,1780259554.030371,3,1
55,58,1780259554.030371,4,1
55,58,1780259554.030371,5,1
56,59,1780259555.031230,1,1
56,59,1780259555.031230,2,1
56,59,1780259555.031230,3,1
56,59,1780259555.031230,4,1
56,59,1780259555.031230,5,1
57,61,1780259556.033951,1,1
57,61,1780259556.033951,2,1
57,61,1780259556.033951,3,1
57,61,1780259556.033951,4,1
57,61,1780259556.033951,5,1
58,62,1780259557.034302,1,1
58,62,1780259557.034302,2,1
58,62,1780259557.034302,3,1
58,62,1780259557.034302,4,1
58,62,1780259557.034302,5,1
59,62,1780259558.036351,1,1
59,62,1780259558.036351,2,1
59,62,1780259558.036351,3,1
59,62,1780259558.036351,4,1
59,62,1780259558.036351,5,1
60,63,1780259559.040367,1,1
60,63,1780259559.040367,2,1
60,63,1780259559.040367,3,1
60,63,1780259559.040367,4,1
